ID,User Query,Category
1,List my top 3 expense categories this month.,Expense Inquiry
2,"Generate a monthly budget that includes rent, bills, and savings.",Budget Creation
3,Should I invest in stocks or fixed deposit?,Investment Advice
16,Which category had the highest spending last quarter?,Expense Inquiry
17,Can you help me create a budget for RM3000 monthly income?,Budget Creation
19,What's the best way to invest RM5000 safely?,Investment Advice
31,List my top 3 expense categories this month.,Expense Inquiry
32,Create a weekly meal budget under RM200.,Budget Creation
34,Is cryptocurrency a good investment for beginners?,Investment Advice
46,How much did I spend on groceries last month?,Expense Inquiry
47,"Generate a monthly budget that includes rent, bills, and savings.",Budget Creation
49,Can you recommend a robo-advisor for beginners?,Investment Advice
61,What were my total expenses for June?,Expense Inquiry
62,Can you help me create a budget for RM3000 monthly income?,Budget Creation
64,Is cryptocurrency a good investment for beginners?,Investment Advice
76,Which category had the highest spending last quarter?,Expense Inquiry
77,Can you help me create a budget for RM3000 monthly income?,Budget Creation
79,What's a low-risk investment option for short-term?,Investment Advice
91,What were my total expenses for June?,Expense Inquiry
92,Help me plan a vacation with a RM1500 budget.,Budget Creation
94,What's the best way to invest RM5000 safely?,Investment Advice
101,List my top 3 expense categories this month.,Expense Inquiry
102,Create a weekly meal budget under RM200.,Budget Creation
104,Should I invest in stocks or fixed deposit?,Investment Advice
116,List my top 3 expense categories this month.,Expense Inquiry
117,Create a weekly meal budget under RM200.,Budget Creation
119,What's the best way to invest RM5000 safely?,Investment Advice
131,Did I exceed my entertainment budget this week?,Expense Inquiry
132,Create a weekly meal budget under RM200.,Budget Creation
134,What's the best way to invest RM5000 safely?,Investment Advice
146,List my top 3 expense categories this month.,Expense Inquiry
147,"Generate a monthly budget that includes rent, bills, and savings.",Budget Creation
149,Should I invest in stocks or fixed deposit?,Investment Advice
161,Which category had the highest spending last quarter?,Expense Inquiry
162,Create a weekly meal budget under RM200.,Budget Creation
164,What's a low-risk investment option for short-term?,Investment Advice
176,What were my total expenses for June?,Expense Inquiry
177,"Generate a monthly budget that includes rent, bills, and savings.",Budget Creation
179,Should I invest in stocks or fixed deposit?,Investment Advice
191,What were my total expenses for June?,Expense Inquiry
192,Create a weekly meal budget under RM200.,Budget Creation
194,Should I invest in stocks or fixed deposit?,Investment Advice
201,List my top 3 expense categories this month.,Expense Inquiry
202,What's a low-risk investment option for short-term?,Investment Advice
203,"Generate a monthly budget that includes rent, bills, and savings.",Budget Creation
204,Did I exceed my entertainment budget this week?,Expense Inquiry
205,Should I invest in stocks or fixed deposit?,Investment Advice
206,"Generate a monthly budget that includes rent, bills, and savings.",Budget Creation
